epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1338.1,0.21204,0.79229,0.95094,0.92359,0.92769,0.97831,0.94218,0.32856,0.43226,0.5662,0.0002278,0.0002278,0.0002278
80,1354.51,0.21307,0.79368,0.95856,0.95607,0.86739,0.97504,0.9435,0.31084,0.39593,0.57783,0.0002179,0.0002179,0.0002179
81,1370.9,0.20128,0.76932,0.95355,0.9288,0.91545,0.97541,0.93897,0.28275,0.42829,0.56863,0.000208,0.000208,0.000208
82,1387.27,0.21556,0.78667,0.95288,0.95787,0.87696,0.97433,0.93949,0.28802,0.46834,0.5599,0.0001981,0.0001981,0.0001981
83,1403.71,0.19733,0.75491,0.94286,0.92152,0.92451,0.97875,0.94465,0.2822,0.39534,0.54655,0.0001882,0.0001882,0.0001882
84,1420.11,0.20348,0.79032,0.95607,0.91663,0.92075,0.97458,0.94354,0.30275,0.40294,0.56324,0.0001783,0.0001783,0.0001783
85,1436.51,0.20386,0.78616,0.9584,0.91255,0.92345,0.97679,0.94211,0.2901,0.40057,0.55851,0.0001684,0.0001684,0.0001684
86,1452.92,0.19912,0.77294,0.95069,0.96055,0.87077,0.9774,0.94111,0.296,0.37645,0.57088,0.0001585,0.0001585,0.0001585
87,1469.32,0.19944,0.7634,0.94754,0.91679,0.92239,0.97918,0.9449,0.292,0.39955,0.56128,0.0001486,0.0001486,0.0001486
88,1485.76,0.20094,0.77611,0.95392,0.92898,0.93315,0.98202,0.94577,0.28656,0.40815,0.56616,0.0001387,0.0001387,0.0001387
89,1502.18,0.20197,0.76417,0.9653,0.94306,0.90453,0.9801,0.94534,0.302,0.41359,0.56624,0.0001288,0.0001288,0.0001288
90,1518.59,0.18495,0.76265,0.94447,0.92179,0.92921,0.97768,0.94076,0.27107,0.44453,0.55241,0.0001189,0.0001189,0.0001189
91,1569.08,0.16105,0.32726,0.91512,0.93122,0.92215,0.97589,0.93822,0.28073,0.40412,0.5675,0.000109,0.000109,0.000109
92,1585.38,0.15892,0.26163,0.909,0.94055,0.90158,0.97809,0.94219,0.26129,0.51721,0.54535,9.91e-05,9.91e-05,9.91e-05
93,1601.64,0.13983,0.24913,0.9003,0.9345,0.92048,0.97323,0.93725,0.27037,0.46273,0.55828,8.92e-05,8.92e-05,8.92e-05
94,1617.93,0.14518,0.23666,0.91285,0.93099,0.93239,0.97593,0.94211,0.25099,0.42896,0.54574,7.93e-05,7.93e-05,7.93e-05
95,1634.25,0.13422,0.2354,0.89896,0.93815,0.91371,0.97824,0.94592,0.27273,0.4246,0.55129,6.94e-05,6.94e-05,6.94e-05
96,1650.54,0.1339,0.22181,0.89413,0.93471,0.92068,0.97747,0.94445,0.24749,0.38477,0.53089,5.95e-05,5.95e-05,5.95e-05
97,1666.81,0.12922,0.21402,0.89732,0.91049,0.93078,0.9794,0.9465,0.25828,0.40081,0.53278,4.96e-05,4.96e-05,4.96e-05
98,1683.07,0.13152,0.20432,0.89428,0.89714,0.94856,0.97897,0.94618,0.2436,0.46242,0.53276,3.97e-05,3.97e-05,3.97e-05
99,1699.5,0.12972,0.20086,0.89598,0.90544,0.93389,0.97841,0.9483,0.24092,0.46098,0.52879,2.98e-05,2.98e-05,2.98e-05
100,1715.91,0.12592,0.20462,0.89457,0.92439,0.93239,0.97941,0.94632,0.23019,0.46471,0.52172,1.99e-05,1.99e-05,1.99e-05
