epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4475.34,0.76578,0.71106,1.26127,0.99456,0.98974,0.99496,0.8895,0.51206,0.23704,1.03712,0.008119,0.008119,0.008119
59,4552.1,0.77535,0.6992,1.26643,0.99321,0.99844,0.995,0.89663,0.4984,0.22791,1.03346,0.008086,0.008086,0.008086
60,4629.01,0.76485,0.69844,1.25803,0.99337,0.99655,0.99498,0.89136,0.50392,0.23366,1.02607,0.008053,0.008053,0.008053
61,4705.79,0.75487,0.68511,1.25499,0.99324,0.99346,0.995,0.89531,0.48689,0.24222,1.02298,0.00802,0.00802,0.00802
62,4782.56,0.77228,0.69156,1.26008,0.99641,0.99651,0.995,0.90685,0.47651,0.21846,1.02907,0.007987,0.007987,0.007987
63,4859.48,0.76528,0.68894,1.26005,0.99733,0.9974,0.995,0.89914,0.49211,0.22422,1.01739,0.007954,0.007954,0.007954
64,4936.25,0.75545,0.69541,1.25842,0.99878,0.99989,0.995,0.89694,0.47562,0.21894,1.01632,0.007921,0.007921,0.007921
65,5012.92,0.75685,0.67223,1.2581,0.99721,0.99936,0.995,0.89404,0.50519,0.22166,1.03404,0.007888,0.007888,0.007888
66,5089.8,0.7466,0.67538,1.24065,0.99389,0.99632,0.99496,0.89709,0.50949,0.23069,1.03096,0.007855,0.007855,0.007855
67,5166.39,0.75252,0.68881,1.25498,0.99825,0.9962,0.99496,0.90136,0.48292,0.22882,1.02623,0.007822,0.007822,0.007822
68,5243.07,0.75019,0.68339,1.24663,0.99098,0.9997,0.99496,0.90098,0.48826,0.22536,1.02764,0.007789,0.007789,0.007789
69,5319.95,0.7374,0.66603,1.23569,0.99421,0.99856,0.995,0.88578,0.50123,0.22778,1.02459,0.007756,0.007756,0.007756
70,5396.68,0.73908,0.66175,1.24166,0.99851,0.99833,0.995,0.90417,0.47072,0.21227,1.01805,0.007723,0.007723,0.007723
71,5473.44,0.73278,0.64108,1.23494,0.99701,0.99822,0.995,0.9019,0.48156,0.22059,1.01882,0.00769,0.00769,0.00769
72,5550.38,0.73813,0.6665,1.23546,0.99794,0.99823,0.995,0.90201,0.4601,0.21701,0.99964,0.007657,0.007657,0.007657
73,5627.12,0.7295,0.65312,1.23684,0.99817,0.99716,0.99498,0.9064,0.45973,0.21624,1.00088,0.007624,0.007624,0.007624
74,5703.87,0.72428,0.64468,1.22767,0.99866,0.99792,0.995,0.90407,0.47247,0.21399,1.02187,0.007591,0.007591,0.007591
75,5780.67,0.72066,0.64071,1.22922,0.9954,0.994,0.99494,0.90703,0.47101,0.21825,1.00898,0.007558,0.007558,0.007558
76,5857.65,0.72912,0.64954,1.23355,0.99578,0.99396,0.99452,0.90677,0.47154,0.21776,1.01805,0.007525,0.007525,0.007525
77,5934.39,0.71613,0.62032,1.2288,0.99456,0.9961,0.995,0.90442,0.46705,0.20913,1.00874,0.007492,0.007492,0.007492
78,6011.24,0.72791,0.63022,1.2334,0.99796,0.99667,0.995,0.90757,0.45845,0.20765,1.00486,0.007459,0.007459,0.007459
79,6088.18,0.73082,0.65251,1.23365,0.99564,0.99526,0.995,0.90414,0.46819,0.2177,1.02035,0.007426,0.007426,0.007426
80,6164.95,0.71535,0.62451,1.2261,0.99721,0.99904,0.995,0.9052,0.46622,0.21115,1.01003,0.007393,0.007393,0.007393
81,6241.7,0.7154,0.6298,1.2181,0.99465,0.999,0.99498,0.90115,0.4692,0.2126,1.01026,0.00736,0.00736,0.00736
82,6318.52,0.71303,0.62645,1.2195,0.99423,0.99939,0.995,0.89927,0.4704,0.21779,1.00866,0.007327,0.007327,0.007327
83,6395.19,0.71764,0.62494,1.21898,0.99806,0.99878,0.995,0.90612,0.46983,0.21203,1.00605,0.007294,0.007294,0.007294
84,6471.94,0.72146,0.62729,1.22698,0.99873,0.99803,0.995,0.90155,0.48028,0.20767,1.02181,0.007261,0.007261,0.007261
85,6548.79,0.71326,0.61943,1.21589,0.99773,0.99926,0.995,0.91154,0.45771,0.20519,1.00522,0.007228,0.007228,0.007228
86,6625.63,0.70321,0.60641,1.21207,0.99716,1,0.995,0.8941,0.47429,0.20974,1.02197,0.007195,0.007195,0.007195
87,6702.54,0.69661,0.59837,1.20969,0.99533,0.9942,0.99442,0.90673,0.46256,0.21118,1.00889,0.007162,0.007162,0.007162
88,6779.39,0.69672,0.60817,1.21111,0.99853,0.99688,0.995,0.91056,0.4672,0.21059,1.00599,0.007129,0.007129,0.007129
89,6856.38,0.7035,0.61901,1.21342,0.99623,0.9971,0.99498,0.90775,0.47095,0.21123,1.01529,0.007096,0.007096,0.007096
90,6933.28,0.69435,0.61374,1.20933,0.99793,0.99718,0.99498,0.89994,0.48429,0.2119,1.02697,0.007063,0.007063,0.007063
91,7010.26,0.69809,0.61013,1.20971,0.99762,0.9986,0.995,0.90976,0.45418,0.19965,1.00328,0.00703,0.00703,0.00703
92,7087.18,0.7071,0.6256,1.21703,0.99888,0.99656,0.995,0.90878,0.45592,0.20198,1.01379,0.006997,0.006997,0.006997
93,7164.14,0.69924,0.60559,1.20976,0.99691,0.9979,0.995,0.90717,0.46376,0.20546,1.02365,0.006964,0.006964,0.006964
94,7241,0.687,0.59726,1.19916,0.99839,0.99711,0.995,0.91167,0.45706,0.20092,1.01113,0.006931,0.006931,0.006931
95,7317.88,0.69181,0.60024,1.20411,0.99807,0.99837,0.995,0.91278,0.4674,0.20348,1.01105,0.006898,0.006898,0.006898
96,7394.88,0.68894,0.59714,1.20011,0.99893,0.99806,0.995,0.91335,0.4569,0.19897,1.01646,0.006865,0.006865,0.006865
97,7471.75,0.68814,0.59683,1.20642,0.99705,0.99664,0.995,0.91398,0.45564,0.20094,1.00961,0.006832,0.006832,0.006832
98,7548.72,0.67531,0.59173,1.20076,0.99658,0.99661,0.995,0.90389,0.46965,0.20696,1.02237,0.006799,0.006799,0.006799
99,7625.52,0.67028,0.57416,1.19159,0.99717,0.99621,0.995,0.91001,0.46137,0.20079,1.01942,0.006766,0.006766,0.006766
100,7702.34,0.68631,0.5924,1.20599,0.99641,0.99638,0.9949,0.90084,0.47637,0.20807,1.01782,0.006733,0.006733,0.006733
101,7779.16,0.68018,0.56589,1.19373,0.99698,0.99595,0.995,0.90804,0.46878,0.20639,1.01536,0.0067,0.0067,0.0067
102,7855.94,0.67622,0.58067,1.1943,0.99555,0.99813,0.99495,0.90465,0.47474,0.20295,1.04344,0.006667,0.006667,0.006667
103,7932.79,0.67869,0.57842,1.19165,0.99801,0.99875,0.995,0.89933,0.49665,0.20521,1.03846,0.006634,0.006634,0.006634
104,8009.64,0.66888,0.56221,1.18954,0.9965,0.9956,0.99477,0.90875,0.46467,0.20337,1.00961,0.006601,0.006601,0.006601
